CharID	CharName	Gender
u0	BIANCA	f
u1	BRUCE	m
u2	CAMERON	m
u3	CHASTITY	?
u4	JOEY	m
u5	KAT	f
u6	MANDELLA	f
u7	MICHAEL	m
u8	MISS PERKY	f
u9	PATRICK	m
u10	SHARON	?
u11	WALTER	m
u12	ALONSO	?
u13	AROJAZ	?
u14	BEATRIX	?
u15	BOBADILLA	?
u16	COLUMBUS	m
u17	FERNANDO	?
u18	ISABEL	?
u19	MARCHENA	m
u20	MENDEZ	?
u21	MOXICA	?
u22	PINZON	?
u23	SAILOR	?
u24	SANCHEZ	?
u25	UTAPAN	?
u26	CUTLER	m
u27	DAPHNE	f
u28	DUFFY	?
u29	EDDIE	m
u30	EMIL	m
u31	HAWKINS	?
u32	HONEY	?
u33	IMMIGRATION OFFICER	?
u34	JORDY	m
u35	KORFIN	m
u36	LEON	?
u37	MAGGIE	?
u38	MAX	?
u39	MILOS	?
u40	MUGGER	?
u41	NICOLETTE	f
u42	OLEG	m
u43	ROBERT HAWKINS	?
u44	ROSE	?
u45	SECONDARY OFFICER	?
u46	STEPHEN GELLER	?
u47	TOMMY	?
u48	VENDOR	?
u49	B20	?
u50	BOWMAN	m
u51	C12	?
u52	CHILD	?
u53	CO-PILOT	?
u54	ELENA	?
u55	FLOYD	?
u56	HAL	m
u57	MICHAELS	?
u58	MILLER	?
u59	PILOT	?
u60	POOLE	m
u61	SMYSLOV	?
u62	ATTENDANT	?
u63	BARTENDER	?
u64	BILLY	?
u65	CANDY	?
u66	CASEY	?
u67	CATES	m
u68	ELAINE	f
u69	GANZ	?
u70	HADEN	?
u71	HAMMOND	m
u72	HENRY	?
u73	KEHOE	?
u74	LISA	?
u75	LUTHER	?
u76	SOSNA	?
u77	YOUNG COP	?
u78	CORNELIUS	m
u79	DAVID	?
u80	DIVA	?
u81	FINGER	?
u82	GIRL	?
u83	KOMMANDER	?
u84	KORBEN	m
u85	LEELOO	f
u86	LOC RHOD	?
u87	MACTILBURGH	?
u88	MOTHER	?
u89	MUGGER	?
u90	MUNRO	?
u91	PRESIDENT	?
u92	PRIEST	?
u93	PROFESSOR	?
u94	SECRETARY	?
u95	SHADOW	?
u96	STAEDERT	?
u97	THAI	?
u98	VOICE	?
u99	ZORG	?
u100	AMY	f
u101	ANGRY DEALER	?
u102	DINO	?
u103	DINO VELVET	m
u104	DIRECTOR	?
u105	EDDIE	m
u106	LONGDALE	m
u107	MALE VOICE	?
u108	MAX	m
u109	MRS CHRISTIAN	M
u110	MRS MATHEWS	M
u111	NUN	?
u112	POLITICIAN	?
u113	SALESPERSON	?
u114	WELLES	m
u115	ALICE	f
u116	DAN	m
u117	DEBBIE	?
u118	ELAINE	?
u119	KRISTEN	?
u120	NURSE	?
u121	RICK	?
u122	SHEILA	?
u123	ALICE	f
u124	ALICE'S DAD	?
u125	DAN	?
u126	GRETA	?
u127	JACOB	?
u128	MARK	m
u129	MRS. JORDAN	?
u130	YVONNE	f
u131	CARL	m
u132	DAVE	m
u133	GRIFF	?
u134	KENT	?
u135	REEF	m
u136	SAUCER VOICE	?
u137	SIR IAN	?
u138	WENDOVER	?
u139	ALMA	f
u140	CHICK	?
u141	HAND	?
u142	JACK	m
u143	JILL	f
u144	LARIVIERE	m
u145	LILLIAN	?
u146	LUGENE	?
u147	MARGIE	f
u148	MEL GORDON	?
u149	MRS. GORDON	?
u150	NICK	?
u151	POP	?
u152	ROLFE	m
u153	TWOMBLEY	m
u154	WADE	m
u155	ALICE	?
u156	CERALLOS	?
u157	CHIEF MECHANIC	?
u158	COL. CARLTON	?
u159	DEAN	?
u160	DOHERTY	?
u161	GENERAL NORTHWOOD	?
u162	GIBBS	?
u163	IRAQI SOLDIER	?
u164	KC-135 PILOT	?
u165	KC-LO PILOT	?
u166	KORSHUNOV	?
u167	LEE	?
u168	MAJOR CALDWELL	?
u169	MARSHALL	m
u170	MITCHELL	?
u171	ROSE	?
u172	SECRET SERVICE AGENT	?
u173	SECRETARY	?
u174	SHEPHERD	m
u175	SWITCHBOARD	?
u176	TOWER	?
u177	V.P. CHANDLER	?
u178	COMMISSIONER	?
u179	DUNN	?
u180	ELAINE	f
u181	JIMMY	?
u182	JOE	?
u183	JOHN	?
u184	KRUGER	?
u185	MARY	?
u186	OVEUR	?
u187	PORTER	?
u188	RECEPTIONIST	?
u189	ROK	?
u190	RUMACK	?
u191	SIMON	m
u192	STELLA	?
u193	TED	m
u194	WIFE	?
u195	BERNICE	?
u196	CAREY	?
u197	DR. RUMACK	?
u198	ELAINE	f
u199	GIRL	?
u200	GUNDERSON	?
u201	JACK	?
u202	JOEY	?
u203	KRAMER	?
u204	LISA	?
u205	MILTON	?
u206	MRS. HAMMEN	?
u207	MRS. KRAMER	?
u208	MURDOCK	?
u209	OVEUR	?
u210	RANDY	?
u211	SHIRLEY	?
u212	SISTER ANGELINA	?
u213	SOLDIER	?
u214	STRIKER	m
u215	CASSANDRA	?
u216	FEDORCHUK	?
u217	HARCOURT	?
u218	JETSON	M
u219	KIPLING	?
u220	MAFFET	?
u221	O'NEAL	?
u222	OPERATOR	?
u223	PORTER	?
u224	SYKES	m
u225	TUGGLE	?
u226	WARNER	?
u227	WINTER	?
u228	APONE	?
u229	BISHOP	m
u230	BURKE	m
u231	GORMAN	?
u232	HICKS	m
u233	HUDSON	?
u234	LYDECKER	?
u235	MED-TECH	?
u236	NEWT	f
u237	RIPLEY	f
u238	SIMPSON	?
u239	VAN LEUWEN	?
u240	VASQUEZ	?
u241	ALLEGRO	?
u242	ANDANTE	?
u243	ARCO	?
u244	CAVALIERI	f
u245	COLLOREDO	?
u246	COMMENDATORE	?
u247	CONSTANZE	f
u248	FIRST LADY	?
u249	FLUNKY	?
u250	FRAU SCHLUMBERG	?
u251	JOSEPH	m
u252	LEOPOLD	m
u253	LORL	f
u254	MADAME WEBER	?
u255	MOZART	m
u256	OFFICER	?
u257	OLD SALIERI	m
u258	ORSINI-ROSENBERG	?
u259	PAPAGENO	?
u260	SALIERI	m
u261	SCHIKANEDER	m
u262	SCHLUMBERG	?
u263	SECOND LADY	?
u264	SERVANT	?
u265	UGLY OLD WOMAN	?
u266	VOGLER	m
u267	VON STRACK	?
u268	VON SWIETEN	?
u269	ALEX	f
u270	BENJAMIN	?
u271	BOBBIE	?
u272	BRINGSLY	?
u273	CHESS PLAYER	?
u274	DAVID	m
u275	DR. HIRSCH	M
u276	JACK	m
u277	LT. VILLIERS	?
u278	MISS GALLAGHER	?
u279	MRS. HOBBS	?
u280	ORDERLY	?
u281	SECRETARY	?
u282	SGT. MCMANUS	?
u283	WOMAN	?
u284	BILL	?
u285	CHARLIE	?
u286	CLARK	m
u287	CLUETT	m
u288	DICKSON	m
u289	DUDE	?
u290	GARDINER	?
u291	GUARD	?
u292	HELEN	f
u293	HELEN'S VOICE	?
u294	INSPECTOR	?
u295	JANITOR	?
u296	LADY	?
u297	MATT	m
u298	MIKE	?
u299	MRS. DICKSON	f
u300	MRS. HALLIGAN	?
u301	MRS. PEMBROKE	?
u302	O'BRIEN	?
u303	OSCAR	?
u304	SAMPSON	?
u305	TELLER	?
u306	BOB	m
u307	BURLY DETECTIVE	?
u308	COLE	m
u309	COMANCHE TOM	?
u310	DEPUTY	?
u311	DOC MIMMS	?
u312	FRANK	m
u313	JESSE	m
u314	JIM	?
u315	JIMMY	?
u316	LYLA	?
u317	MA	?
u318	MARSHALL	?
u319	OLD MAN	?
u320	PARKER	m
u321	PASTOR	?
u322	PINKERTON	m
u323	RAINS	m
u324	SHERRIFF	?
u325	TELLER	?
u326	ZEE	f
u327	BATEMAN	m
u328	CARNES	?
u329	CARRUTHERS	?
u330	CHRISTIE	?
u331	COURTNEY	f
u332	DAISY	?
u333	ELIZABETH	f
u334	EVELYN	f
u335	HOMELESS MAN	m
u336	JEAN	f
u337	KIMBALL	m
u338	MAITRE D'	?
u339	MRS. WOLFE	?
u340	OWEN	?
u341	PRICE	?
u342	VAN PATTEN	?
u343	VICTORIA	?
u344	ALICE	f
u345	BARTON	?
u346	BRIAN	?
u347	CYBER PUNDIT	?
u348	DANNY	?
u349	GARY	m
u350	LARRY	?
u351	LARRY KING	?
u352	LEN	?
u353	LISA	f
u354	MILO	m
u355	PHIL	?
u356	RANDY	?
u357	REDMOND	?
u358	SHROT	?
u359	TEDDY	?
u360	ALOTTA	f
u361	ANDY WARHOL	?
u362	AUSTIN	m
u363	BASIL EXPOSITION	m
u364	CLERK	?
u365	COMMANDER GILMOUR	?
u366	DESTRUCTACON	?
u367	DR. EVIL	m
u368	FRAU FARBISSINA	?
u369	GUARD	?
u370	MICK JAGGER	?
u371	MRS. KENSINGTON	?
u372	MUSTAFA	?
u373	NUMBER TWO	?
u374	RADAR OPERATOR	?
u375	SCOTT EVIL	m
u376	THERAPIST	?
u377	VANESSA	f
u378	BAILEY	?
u379	DR. DARLING	?
u380	EMMA	f
u381	FATHER	?
u382	INVISIBLE JONES	m
u383	MOTHER	m
u384	OLD LADY	?
u385	PORTER	?
u386	SIR AUGUST	?
u387	STEED	m
u388	VALENTINE	f
u389	VOICE	?
u390	BOBBIE	?
u391	CHULO	?
u392	COLE	m
u393	DEBBIE	f
u394	EXECUTIVE	?
u395	GARY	?
u396	ILENE	?
u397	JUMBO	?
u398	LARRY	?
u399	MANAGER	?
u400	MR. T	?
u401	MR. THOMERSON	?
u402	MRS. THOMERSON	?
u403	O'NEILL	m
u404	PHOEBE	?
u405	RAJAH	?
u406	RICK	m
u407	RYKO	?
u408	SISTER MARY FRANCIS	?
u409	STAN	?
u410	WOMAN	?
u411	AXE	?
